fecha,clae6,puestos
2007-01-01,275091,912
2007-01-01,275092,319
2007-01-01,275099,3468
2007-01-01,279000,4715
2007-01-01,281100,700
2007-01-01,281201,2533
2007-01-01,281301,2479
2007-01-01,281400,1019
2007-01-01,281500,486
2007-01-01,281600,2195
2007-01-01,281700,164
2007-01-01,281900,6232
2007-01-01,282110,630
2007-01-01,282120,10896
2007-01-01,282130,1212
2007-01-01,282200,1264
2007-01-01,282300,1784
2007-01-01,282400,1165
2007-01-01,282500,3332
2007-01-01,282600,381
2007-01-01,282901,339
2007-01-01,282909,9740
2007-01-01,291000,19127
2007-01-01,292000,6220
2007-01-01,293011,809
2007-01-01,293090,38671
2007-01-01,301100,3486
2007-01-01,301200,896
2007-01-01,302000,5576
2007-01-01,303000,358
2007-01-01,309100,1296
2007-01-01,309200,1066
2007-01-01,309900,325
2007-01-01,310010,13652
2007-01-01,310020,3300
2007-01-01,310030,2810
2007-01-01,321011,334
2007-01-01,321012,121
2007-01-01,321020,295
2007-01-01,322001,193
2007-01-01,323001,834
2007-01-01,324000,878
2007-01-01,329010,411
2007-01-01,329020,643
2007-01-01,329030,337
2007-01-01,329040,295
2007-01-01,329090,8773
2007-01-01,331101,1235
2007-01-01,331210,1539
2007-01-01,331220,239
2007-01-01,331290,2134
2007-01-01,331301,128
2007-01-01,331400,290
2007-01-01,331900,3757
2007-01-01,332000,917
2007-01-01,351110,3062
2007-01-01,351130,723
2007-01-01,351190,278
2007-01-01,351201,1413
2007-01-01,351310,-99
2007-01-01,351320,26483
2007-01-01,352010,52
2007-01-01,352020,5192
2007-01-01,353001,9
2007-01-01,360010,2104
2007-01-01,360020,5664
2007-01-01,370000,873
2007-01-01,381100,17257
2007-01-01,381200,2624
2007-01-01,382010,1151
2007-01-01,382020,1361
2007-01-01,390000,419
2007-01-01,410011,118785
2007-01-01,410021,91063
2007-01-01,421000,42388
2007-01-01,422100,845
2007-01-01,422200,33379
2007-01-01,429010,5720
2007-01-01,429090,30712
2007-01-01,431100,652
2007-01-01,431210,8914
2007-01-01,431220,730
2007-01-01,432110,510
2007-01-01,432190,16023
2007-01-01,432200,6717
2007-01-01,432910,1526
2007-01-01,432920,1014
2007-01-01,432990,6601
2007-01-01,433010,1834
2007-01-01,433020,1942
2007-01-01,433030,157
2007-01-01,433040,2634
2007-01-01,433090,377
2007-01-01,439100,1385
2007-01-01,439910,2680
2007-01-01,439990,11311
2007-01-01,451110,17876
2007-01-01,451190,4966
2007-01-01,451210,1455
2007-01-01,451290,728
2007-01-01,452101,2011
2007-01-01,452210,713
2007-01-01,452220,1179
2007-01-01,452300,630
2007-01-01,452401,1387
2007-01-01,452500,223
2007-01-01,452600,2997
2007-01-01,452700,203
2007-01-01,452800,579
2007-01-01,452910,311
2007-01-01,452990,10523
2007-01-01,453100,11788
2007-01-01,453210,5135
2007-01-01,453220,585
2007-01-01,453291,10481
2007-01-01,453292,195
2007-01-01,454010,2922
2007-01-01,454020,145
2007-01-01,461011,22635
2007-01-01,461012,278
2007-01-01,461013,200
2007-01-01,461014,325
2007-01-01,461019,1322
2007-01-01,461021,5091
2007-01-01,461022,16
2007-01-01,461029,326
2007-01-01,461031,190
2007-01-01,461032,2624
2007-01-01,461039,1610
2007-01-01,461040,4566
2007-01-01,461091,255
2007-01-01,461092,113
2007-01-01,461093,230
2007-01-01,461094,265
2007-01-01,461095,183
2007-01-01,461099,3605
2007-01-01,462110,-99
2007-01-01,462120,1232
2007-01-01,462131,5525
2007-01-01,462132,577
2007-01-01,462190,860
2007-01-01,462201,393
2007-01-01,462209,339
2007-01-01,463111,3051
2007-01-01,463112,1735
2007-01-01,463121,1814
2007-01-01,463129,1418
2007-01-01,463130,739
2007-01-01,463140,8454
2007-01-01,463151,623
2007-01-01,463152,687
2007-01-01,463153,316
2007-01-01,463154,671
2007-01-01,463159,771
2007-01-01,463160,7707
2007-01-01,463170,995
2007-01-01,463180,12600
2007-01-01,463191,926
2007-01-01,463199,13740
2007-01-01,463211,1661
2007-01-01,463212,117
2007-01-01,463219,6570
2007-01-01,463220,3778
2007-01-01,463300,4408
2007-01-01,464111,2743
2007-01-01,464112,1040
2007-01-01,464113,685
2007-01-01,464114,332
2007-01-01,464119,1062
2007-01-01,464121,74
2007-01-01,464122,283
2007-01-01,464129,4659
2007-01-01,464130,1946
2007-01-01,464141,546
2007-01-01,464142,242
2007-01-01,464149,867
2007-01-01,464150,211
2007-01-01,464211,1830
2007-01-01,464212,1683
2007-01-01,464221,1970
2007-01-01,464222,611
2007-01-01,464223,4311
2007-01-01,464310,16790
2007-01-01,464320,6219
2007-01-01,464330,2215
2007-01-01,464340,881
2007-01-01,464410,1570
2007-01-01,464420,2201
2007-01-01,464501,1823
2007-01-01,464502,2157
2007-01-01,464610,312
2007-01-01,464620,1729
2007-01-01,464631,236
2007-01-01,464632,2292
2007-01-01,464910,315
2007-01-01,464920,3825
2007-01-01,464930,1489
2007-01-01,464940,473
2007-01-01,464950,610
2007-01-01,464991,456
2007-01-01,464999,1619
2007-01-01,465100,4966
2007-01-01,465210,2244
2007-01-01,465220,447
2007-01-01,465310,2256
2007-01-01,465320,374
2007-01-01,465330,472
2007-01-01,465340,1243
2007-01-01,465350,1414
2007-01-01,465360,48
2007-01-01,465390,3244
2007-01-01,465400,1878
2007-01-01,465500,78
2007-01-01,465610,496
2007-01-01,465690,588
